Genome	Original_name	Study_set	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	MGnify_accession	Lineage	Sample_accession	Study_accession	Country	Continent
GUT_GENOME147109	PATRIC_626937_8	PATRIC/IMG	Isolate	2946129	45	147856	51.47	98.39	0.81	94.96	99.74	99.79	20	626937.8	GUT_GENOME147109	MGYG-HGUT-02523	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenella;s__Christensenella minuta	SAMN05257106	PRJNA326054	Japan	Asia
GUT_GENOME147115	PATRIC_630_141	PATRIC/IMG	Isolate	4282956	57	140848	49.09	100	0	94.96	99.67	99.86	20	630.141	GUT_GENOME147115	MGYG-HGUT-02524	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia bercovieri	SAMEA859958	PRJEB2117	Finland	Europe
GUT_GENOME147131	PATRIC_631_9	PATRIC/IMG	Isolate	5030852	50	229842	47.53	99.95	0.08	94.96	99.67	99.86	20	631.9	GUT_GENOME147131	MGYG-HGUT-02525	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia intermedia	SAMEA859947	PRJEB2117	Finland	Europe
GUT_GENOME147138	PATRIC_644_65	PATRIC/IMG	Isolate	5049693	2	4906222	61.04	99.97	0	94.12	99.67	99.86	20	644.65	GUT_GENOME147138	MGYG-HGUT-02526	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas hydrophila	SAMN03294822	PRJNA273636	United States	North America
GUT_GENOME147146	PATRIC_648_78	PATRIC/IMG	Isolate	4481449	34	369684	61.76	99.97	0	94.12	99.67	99.86	19	648.78	GUT_GENOME147146	MGYG-HGUT-02527	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae	SAMN03389335	PRJNA277314	Brazil	South America
GUT_GENOME147149	PATRIC_649756_24	PATRIC/IMG	Isolate	3172680	1	3172680	37.28	99.33	1.34	0	99.61	99.69	20	649756.24	GUT_GENOME147149	MGYG-HGUT-02528	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	SAMN02725021	PRJNA244280	China	Asia
GUT_GENOME147152	PATRIC_654_128	PATRIC/IMG	Isolate	4711855	125	119569	58.44	100	0	94.12	99.67	98.29	20	654.128	GUT_GENOME147152	MGYG-HGUT-02529	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas veronii	SAMN07680228	PRJNA408193	China	Asia
GUT_GENOME147164	PATRIC_657319_3	PATRIC/IMG	Isolate	2864225	139	38521	44.91	98.99	0	91.6	0	99.73	19	657319.3	GUT_GENOME147164	MGYG-HGUT-02530	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum	NA	PRJNA39157	NA	NA
GUT_GENOME147168	PATRIC_657324_3	PATRIC/IMG	Isolate	3116964	42	184373	38.47	97.33	0	0	0	0	20	657324.3	GUT_GENOME147168	MGYG-HGUT-02531	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pseudobutyrivibrio;s__Pseudobutyrivibrio fibrisolvens	SAMEA3138350	PRJNA39147	NA	NA
GUT_GENOME147522	PATRIC_673_10	PATRIC/IMG	Isolate	4096579	4	4053906	49.53	100	0	94.96	99.67	99.86	20	673.10	GUT_GENOME147522	MGYG-HGUT-02532	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Grimontia;s__Grimontia hollisae	SAMEA104281642	PRJEB6403	NA	NA
GUT_GENOME147523	PATRIC_676_29	PATRIC/IMG	Isolate	4940073	108	223097	46.65	100	0.41	94.96	49.64	99.86	20	676.29	GUT_GENOME147523	MGYG-HGUT-02533	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio vulnificus	SAMN04221178	PRJNA300397	Bangladesh	Asia
GUT_GENOME147524	PATRIC_67824_3	PATRIC/IMG	Isolate	5715933	4	5130304	53.06	99.97	0.9	95.8	99.67	99.86	20	67824.3	GUT_GENOME147524	MGYG-HGUT-02534	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter_A;s__Citrobacter_A farmeri	SAMN07452765	PRJNA397262	Australia	Oceania
GUT_GENOME147525	PATRIC_67827_10	PATRIC/IMG	Isolate	4885175	1	4885175	52.53	99.97	0.58	95.8	99.67	99.86	20	67827.10	GUT_GENOME147525	MGYG-HGUT-02535	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter werkmanii_A	SAMN07312408	PRJNA231221	United States	North America
GUT_GENOME147542	PATRIC_703_26	PATRIC/IMG	Isolate	3656333	38	200565	51.92	99.62	0.56	95.8	99.67	99.86	20	703.26	GUT_GENOME147542	MGYG-HGUT-02536	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Plesiomonas;s__Plesiomonas shigelloides	NA	NA	NA	NA
GUT_GENOME147550	PATRIC_72000_27	PATRIC/IMG	Isolate	2639341	34	129381	70.83	98.68	0	94.96	99.67	99.62	20	72000.27	GUT_GENOME147550	MGYG-HGUT-02537	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria rhizophila_B	SAMN08325509	PRJNA428934	India	Asia
GUT_GENOME147598	PATRIC_72407_78	PATRIC/IMG	Isolate	5484766	4	5306758	57.3	100	0.02	95.8	99.67	99.86	20	72407.78	GUT_GENOME147598	MGYG-HGUT-02538	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	SAMN02820977	PRJNA251378	United States	North America
GUT_GENOME147602	PATRIC_74426_49	PATRIC/IMG	Isolate	2306419	1	2306419	60.12	100	0.81	94.12	99.61	99.45	20	74426.49	GUT_GENOME147602	MGYG-HGUT-02539	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_A	SAMN07821249	PRJNA415274	India	Asia
GUT_GENOME147612	PATRIC_762968_3	PATRIC/IMG	Isolate	4203879	112	187285	48.24	99.26	0.2	0	99.67	99.62	20	762968.3	GUT_GENOME147612	MGYG-HGUT-02540	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__Paraprevotella clara	SAMN00189150	PRJNA48501	NA	NA
GUT_GENOME147629	PATRIC_797473_3	PATRIC/IMG	Isolate	2577381	198	26695	58.18	97.51	0	93.28	99.61	99.83	20	797473.3	GUT_GENOME147629	MGYG-HGUT-02541	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium;s__Cardiobacterium valvarum	SAMN02299434	PRJNA49689	NA	NA
GUT_GENOME147630	PATRIC_797515_3	PATRIC/IMG	Isolate	2886114	212	43148	45.56	98.94	1.46	0	0	89.23	18	797515.3	GUT_GENOME147630	MGYG-HGUT-02542	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_G;s__Lactobacillus_G parafarraginis	SAMN02299435	PRJNA49691	NA	NA
GUT_GENOME147644	PATRIC_827_3	PATRIC/IMG	Isolate	1669214	25	131419	29.02	98.65	0.07	0	99.74	92.48	20	827.3	GUT_GENOME147644	MGYG-HGUT-02543	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B;s__Campylobacter_B ureolyticus	SAMN02673348	PRJNA240200	Ireland	Europe
GUT_GENOME147673	PATRIC_84112_28	PATRIC/IMG	Isolate	3742624	63	153343	64.26	100	0	92.44	99.67	99.42	20	84112.28	GUT_GENOME147673	MGYG-HGUT-02544	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta	SAMN08365961	PRJNA412637	United States	North America
GUT_GENOME147678	PATRIC_853_273	PATRIC/IMG	Isolate	2833965	1	2833965	57.23	100	0	94.12	99.74	99.83	20	853.273	GUT_GENOME147678	MGYG-HGUT-02545	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	SAMN08452073	PRJNA432550	Ireland	Europe
GUT_GENOME147776	PATRIC_905011_3	PATRIC/IMG	Isolate	3267185	348	136645	58.18	93.62	1.01	94.96	99.67	99.86	20	905011.3	GUT_GENOME147776	MGYG-HGUT-02546	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Neobitarella;s__Neobitarella massiliensis	SAMEA3545359	PRJEB10915	United Kingdom	Europe
GUT_GENOME147777	PATRIC_907_14	PATRIC/IMG	Isolate	2430904	26	137975	53.17	100	0	92.44	41.23	99.69	20	907.14	GUT_GENOME147777	MGYG-HGUT-02547	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera elsdenii	SAMN07503204	PRJNA398182	India	Asia
GUT_GENOME147796	PATRIC_985002_151	PATRIC/IMG	Isolate	2791205	89	77015	32.36	99.37	0.44	67.23	99.74	99.76	20	985002.151	GUT_GENOME147796	MGYG-HGUT-02548	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus argenteus	SAMN04604745	PRJNA317280	China	Asia
GUT_GENOME147854	PATRIC_997873_3	PATRIC/IMG	Isolate	5482512	27	524109	42.83	99.3	0.08	94.96	99.67	99.45	20	997873.3	GUT_GENOME147854	MGYG-HGUT-02549	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae	SAMN02463916	PRJNA64801	United States	North America
GUT_GENOME148088	QinJ_2012__CON-015__bin.17	CIBIO	MAG	1599686	286	7609	40.07	84.5	2.01	0	0	0	14	NA	GUT_GENOME148088	MGYG-HGUT-02550	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp001556435	NA	NA	China	Asia
GUT_GENOME148095	QinJ_2012__CON-015__bin.38	CIBIO	MAG	1753893	182	15064	40.81	92.73	0.23	0	0	0	12	NA	GUT_GENOME148095	MGYG-HGUT-02551	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_A;s__Haemophilus_A paraphrohaemolyticus	NA	NA	China	Asia
GUT_GENOME148443	QinJ_2012__CON-038__bin.21	CIBIO	MAG	3072226	29	180103	36.77	99.33	0	0	0	0	19	NA	GUT_GENOME148443	MGYG-HGUT-02552	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436535	NA	NA	China	Asia
GUT_GENOME148502	QinJ_2012__CON-041__bin.39	CIBIO	MAG	1486826	264	7094	47.41	84.06	1.01	0	0	0	11	NA	GUT_GENOME148502	MGYG-HGUT-02553	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	NA	NA	China	Asia
GUT_GENOME148641	QinJ_2012__CON-051__bin.10	CIBIO	MAG	1510546	335	5343	42.15	79.28	2.83	0	0	0	6	NA	GUT_GENOME148641	MGYG-HGUT-02554	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis_AE	NA	NA	China	Asia
GUT_GENOME148816	QinJ_2012__CON-061__bin.1	CIBIO	MAG	2154441	311	9631	53.69	89.8	1.9	0	0	0	19	NA	GUT_GENOME148816	MGYG-HGUT-02555	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__	NA	NA	China	Asia
GUT_GENOME148897	QinJ_2012__CON-066__bin.34	CIBIO	MAG	2635433	29	131749	49.9	98.3	0	0	0	0	20	NA	GUT_GENOME148897	MGYG-HGUT-02556	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-279;s__CAG-279 sp000437795	NA	NA	China	Asia
GUT_GENOME148915	QinJ_2012__CON-067__bin.28	CIBIO	MAG	2168151	134	26341	59.88	99.19	1.16	0	0	0	18	NA	GUT_GENOME148915	MGYG-HGUT-02557	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	NA	NA	China	Asia
GUT_GENOME149090	QinJ_2012__CON-076__bin.70	CIBIO	MAG	3477788	195	38710	55.62	97.39	0.09	0	0	0	16	NA	GUT_GENOME149090	MGYG-HGUT-02558	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	NA	NA	China	Asia
GUT_GENOME149116	QinJ_2012__CON-077__bin.4	CIBIO	MAG	2659703	238	18713	32.32	94.11	0	0	0	5.64	15	NA	GUT_GENOME149116	MGYG-HGUT-02559	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	NA	NA	China	Asia
GUT_GENOME149380	QinJ_2012__CON-096__bin.13	CIBIO	MAG	5392544	68	143902	43.04	97.96	0.37	0	21.2	0	20	NA	GUT_GENOME149380	MGYG-HGUT-02560	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__	NA	NA	China	Asia
GUT_GENOME149381	QinJ_2012__CON-096__bin.14	CIBIO	MAG	4556720	70	136237	47.19	84.83	0.65	0	0	0	19	NA	GUT_GENOME149381	MGYG-HGUT-02561	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	NA	NA	China	Asia
GUT_GENOME149444	QinJ_2012__CON-099__bin.23	CIBIO	MAG	1679479	11	260467	49.91	100	0.63	0	0	0	20	NA	GUT_GENOME149444	MGYG-HGUT-02562	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__	NA	NA	China	Asia
GUT_GENOME149497	QinJ_2012__CON-102__bin.13	CIBIO	MAG	2928350	182	28283	27.16	98.24	0	89.92	0	0	13	NA	GUT_GENOME149497	MGYG-HGUT-02563	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	NA	NA	China	Asia
GUT_GENOME149574	QinJ_2012__CON-108__bin.27	CIBIO	MAG	2498823	33	113030	53.71	96.9	0	0	99.67	0	20	NA	GUT_GENOME149574	MGYG-HGUT-02564	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__CAG-831;s__	NA	NA	China	Asia
GUT_GENOME149706	QinJ_2012__DLF012__bin.16	CIBIO	MAG	1970462	202	13162	44.92	97.95	0.75	0	34.9	0	19	NA	GUT_GENOME149706	MGYG-HGUT-02565	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A magna	SRS259508	SRP008047	China	Asia
GUT_GENOME149712	QinJ_2012__DLF013__bin.11	CIBIO	MAG	2087447	226	13168	59.86	95.97	0.12	0	0	0	20	NA	GUT_GENOME149712	MGYG-HGUT-02566	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	SRS259509	SRP008047	China	Asia
GUT_GENOME149894	QinJ_2012__DLM014__bin.15	CIBIO	MAG	2238805	74	42228	52.57	95.44	0.75	0	0	0	20	NA	GUT_GENOME149894	MGYG-HGUT-02567	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__	SRS259515	SRP008047	China	Asia
GUT_GENOME150050	QinJ_2012__DLM027__bin.12	CIBIO	MAG	2894126	73	58188	41.58	97.78	0	0	0	0	19	NA	GUT_GENOME150050	MGYG-HGUT-02568	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__	SRS259526	SRP008047	China	Asia
GUT_GENOME150307	QinJ_2012__DOM015__bin.4	CIBIO	MAG	2163789	692	3332	28.88	78.44	0.34	94.96	0	0	10	NA	GUT_GENOME150307	MGYG-HGUT-02569	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	SRS259537	SRP008047	China	Asia
GUT_GENOME150720	QinJ_2012__NLM023__bin.12	CIBIO	MAG	2030182	116	26978	38.95	97.99	0	0	0	0	17	NA	GUT_GENOME150720	MGYG-HGUT-02570	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955	SRS259486	SRP008047	China	Asia
GUT_GENOME150770	QinJ_2012__NLM026__bin.4	CIBIO	MAG	1451482	15	204344	31.71	80.28	0.7	89.08	0	0	19	NA	GUT_GENOME150770	MGYG-HGUT-02571	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__UBA1234;g__;s__	SRS259555	SRP008047	China	Asia
GUT_GENOME150801	QinJ_2012__NLM029__bin.1	CIBIO	MAG	1315354	110	17303	27.06	72.86	0.38	0	21.14	0	16	NA	GUT_GENOME150801	MGYG-HGUT-02572	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-354;s__	SRS259558	SRP008047	China	Asia
GUT_GENOME150819	QinJ_2012__NLM031__bin.15	CIBIO	MAG	2238074	102	40533	49.7	96.17	0	0	0	0	16	NA	GUT_GENOME150819	MGYG-HGUT-02573	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__	SRS259559	SRP008047	China	Asia
GUT_GENOME151017	QinJ_2012__NOM004__bin.19	CIBIO	MAG	3747851	594	8174	30.49	98.88	2.25	83.19	0	33.71	15	NA	GUT_GENOME151017	MGYG-HGUT-02574	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__	SRS259497	SRP008047	China	Asia
GUT_GENOME151520	QinJ_2012__T2D-017__bin.12	CIBIO	MAG	2454297	330	10149	45.43	79.61	2.73	0	17.61	0	14	NA	GUT_GENOME151520	MGYG-HGUT-02575	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__;s__	SRS294977	SRP008047	China	Asia
GUT_GENOME151535	QinJ_2012__T2D-018__bin.16	CIBIO	MAG	2021931	280	9406	59.98	94.35	1.61	0	0	0	18	NA	GUT_GENOME151535	MGYG-HGUT-02576	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	NA	NA	China	Asia
GUT_GENOME151605	QinJ_2012__T2D-022__bin.4	CIBIO	MAG	1669977	413	4819	39.4	81.82	4.42	0	0	0	16	NA	GUT_GENOME151605	MGYG-HGUT-02577	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__	SRS294989	SRP008047	China	Asia
GUT_GENOME151671	QinJ_2012__T2D-024__bin.77	CIBIO	MAG	2399752	48	88482	53.68	82.71	0.79	0	0	0	20	NA	GUT_GENOME151671	MGYG-HGUT-02578	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-977;g__CAG-977;s__	NA	NA	China	Asia
GUT_GENOME151778	QinJ_2012__T2D-029__bin.31	CIBIO	MAG	1758569	50	52459	35.42	99.21	0.52	93.28	0	0	17	NA	GUT_GENOME151778	MGYG-HGUT-02579	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_B;s__	SRS294992	SRP008047	China	Asia
GUT_GENOME151978	QinJ_2012__T2D-040__bin.14	CIBIO	MAG	3017755	35	166743	35.96	99.33	0	0	0	21.2	18	NA	GUT_GENOME151978	MGYG-HGUT-02580	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436475	NA	NA	China	Asia
GUT_GENOME152049	QinJ_2012__T2D-043__bin.19	CIBIO	MAG	1545170	59	44424	27.75	76.44	0.67	0	0	0	14	NA	GUT_GENOME152049	MGYG-HGUT-02581	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp001916065	NA	NA	China	Asia
GUT_GENOME152118	QinJ_2012__T2D-045__bin.7	CIBIO	MAG	1767570	79	40133	42.61	98.68	0	0	0	0	17	NA	GUT_GENOME152118	MGYG-HGUT-02582	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__	SRS295000	SRP008047	China	Asia
GUT_GENOME152230	QinJ_2012__T2D-051__bin.39	CIBIO	MAG	1551981	6	492356	25.96	78.51	1.9	0	99.61	99.79	18	NA	GUT_GENOME152230	MGYG-HGUT-02583	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__CAG-492 sp000434015	SRS295004	SRP008047	China	Asia
GUT_GENOME152364	QinJ_2012__T2D-059__bin.25	CIBIO	MAG	3046116	45	121738	52.01	97.96	1.36	0	0	0	20	NA	GUT_GENOME152364	MGYG-HGUT-02584	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	SRS295010	SRP008047	China	Asia
GUT_GENOME152489	QinJ_2012__T2D-065__bin.16	CIBIO	MAG	2704708	93	37623	49.38	62.07	0	0	0	0	16	NA	GUT_GENOME152489	MGYG-HGUT-02585	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	SRS295014	SRP008047	China	Asia
GUT_GENOME152509	QinJ_2012__T2D-066__bin.22	CIBIO	MAG	1667494	175	13821	44.06	90.25	0.16	95.8	0	12.85	15	NA	GUT_GENOME152509	MGYG-HGUT-02586	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-145;s__CAG-145 sp002320005	SRS295015	SRP008047	China	Asia
GUT_GENOME152519	QinJ_2012__T2D-066__bin.49	CIBIO	MAG	4428270	166	43835	46.73	92.85	0.38	0	0	0	20	NA	GUT_GENOME152519	MGYG-HGUT-02587	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	SRS295015	SRP008047	China	Asia
GUT_GENOME152588	QinJ_2012__T2D-070__bin.12	CIBIO	MAG	2355618	179	21004	59.57	95.93	1.34	0	0	19.01	18	NA	GUT_GENOME152588	MGYG-HGUT-02588	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	SRS295018	SRP008047	China	Asia
GUT_GENOME152603	QinJ_2012__T2D-070__bin.37	CIBIO	MAG	2788004	62	81840	55.99	99.11	0	0	0	0	18	NA	GUT_GENOME152603	MGYG-HGUT-02589	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__	SRS295018	SRP008047	China	Asia
GUT_GENOME152604	QinJ_2012__T2D-070__bin.38	CIBIO	MAG	1065400	79	18180	30.04	92.42	1.12	0	0	13.64	19	NA	GUT_GENOME152604	MGYG-HGUT-02590	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-433;g__CAG-594;s__	SRS295018	SRP008047	China	Asia
GUT_GENOME152800	QinJ_2012__T2D-080__bin.28	CIBIO	MAG	1836871	28	109522	48.52	98.02	0.62	0	0	0	20	NA	GUT_GENOME152800	MGYG-HGUT-02591	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAG-521;s__	NA	NA	China	Asia
GUT_GENOME152999	QinJ_2012__T2D-090__bin.48	CIBIO	MAG	2969228	128	49128	58.74	97.84	0.48	0	0	0	18	NA	GUT_GENOME152999	MGYG-HGUT-02592	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	NA	NA	China	Asia
GUT_GENOME153023	QinJ_2012__T2D-092__bin.16	CIBIO	MAG	1476890	35	72028	39.43	93.44	0.27	0	0	0	15	NA	GUT_GENOME153023	MGYG-HGUT-02593	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_H;s__	NA	NA	China	Asia
GUT_GENOME153042	QinJ_2012__T2D-092__bin.6	CIBIO	MAG	2169425	93	42013	43.26	93.16	1.12	0	0	0	6	NA	GUT_GENOME153042	MGYG-HGUT-02594	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	NA	NA	China	Asia
GUT_GENOME153166	QinJ_2012__T2D-098__bin.31	CIBIO	MAG	1785460	70	36472	59.49	86.74	1.34	89.92	0	0	18	NA	GUT_GENOME153166	MGYG-HGUT-02595	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__	NA	NA	China	Asia
GUT_GENOME153233	QinJ_2012__T2D-101__bin.22	CIBIO	MAG	2667232	146	26922	48.71	93.66	0.58	0	0	14.22	12	NA	GUT_GENOME153233	MGYG-HGUT-02596	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__	NA	NA	China	Asia
GUT_GENOME153239	QinJ_2012__T2D-101__bin.7	CIBIO	MAG	1766939	307	7460	53.35	87.4	0.71	94.96	0	20.99	12	NA	GUT_GENOME153239	MGYG-HGUT-02597	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Mogibacterium;s__Mogibacterium timonense	NA	NA	China	Asia
GUT_GENOME153241	QinJ_2012__T2D-102__bin.10	CIBIO	MAG	3385329	266	24369	37.06	94.19	4.51	0	0	10.32	17	NA	GUT_GENOME153241	MGYG-HGUT-02598	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	SRS294929	SRP008047	China	Asia
